group_id,classification,decision,primary_row,secondary_rows,traveler_id_to_keep,new_traveler_id_if_needed,action,reason
"20.0:1004006276","SAME_PERSON_HIGH_CONFIDENCE","Merge","356","377","TR00355","","Merge after review","Same phone and same name; row 356 is the stronger primary record."
"20.0:1099911488","SAME_PERSON_HIGH_CONFIDENCE","Merge","157","163","TR00156","","Merge after review","Same phone and same name; row 157 has email and birthday, so it is the stronger primary record."
"974.0:55171371","SAME_PERSON_HIGH_CONFIDENCE","Merge","111","131","TR00110","","Merge after review","Same phone and same name; row 111 has email and birthday, so it is the stronger primary record."
"20.0:1221328311","SAME_PERSON_HIGH_CONFIDENCE","Merge","495","545","TR00494","","Merge after review","Same phone and same name; row 495 is the stronger primary record."
"20.0:1225734868","SAME_PERSON_HIGH_CONFIDENCE","Merge","493","546","TR00492","","Merge after review","Same phone and same name; row 493 is the stronger primary record."
"49.0:1734781673","SAME_PERSON_HIGH_CONFIDENCE","Merge","472","521","TR00471","","Merge after review","Same phone and same full name; row 472 is the stronger primary record."
"20.0:1033353567","SAME_PERSON_HIGH_CONFIDENCE","Merge","141","411","TR00140","","Merge after review","Same phone and near-identical name; row 141 has email and birthday."
"20.0:1016324366","SAME_PERSON_HIGH_CONFIDENCE","Merge","139","147","TR00138","","Merge after review","Same phone and likely same person; row 139 has email, birthday, and residence."
"20.0:1277445335","SAME_PERSON_HIGH_CONFIDENCE","Merge","41","355","TR00040","","Merge after review","Same phone and same name with capitalization differences only."
"20.0:1065277121","SAME_PERSON_HIGH_CONFIDENCE","Merge","169","391","TR00168","","Merge after review","Same phone and near-identical name; row 169 has email and birthday."
"20.0:1096833188","SAME_PERSON_HIGH_CONFIDENCE","Merge","156","162","TR00155","","Merge after review","Same phone and same name; row 156 is the stronger primary record."
"966.0:554421909","SAME_PERSON_MEDIUM_CONFIDENCE","Manual Review","74","349","TR00073","","Manual review required","Same phone but names are only plausibly transliteration variants; row 74 is the stronger record."
"1.0:8722287794","SAME_PERSON_MEDIUM_CONFIDENCE","Manual Review","235","530","TR00234","","Manual review required","Same phone and shared first name, but surname is incomplete on the secondary row."
"971.0:563730780","POSSIBLE_DUPLICATE_NEEDS_REVIEW","Manual Review","132","176,177","TR00131","","Manual review required","Mixed group: rows 132 and 176 may match, but row 177 looks like a different person."
"20.0:1159280528","POSSIBLE_DUPLICATE_NEEDS_REVIEW","Manual Review","95","108","TR00094","","Manual review required","Same phone but names differ materially; no safe merge."
"20.0:1000969611","POSSIBLE_DUPLICATE_NEEDS_REVIEW","Manual Review","96","231","TR00095","","Manual review required","Same phone but names differ materially; no safe merge."
"20.0:1069977005","POSSIBLE_DUPLICATE_NEEDS_REVIEW","Manual Review","353","427","TR00352","","Manual review required","Same phone with only weak first-name overlap and different surnames."
"20.0:1055756130","POSSIBLE_DUPLICATE_NEEDS_REVIEW","Manual Review","417","478,502","TR00416","","Manual review required","Rows 417 and 478 look similar, but row 502 is clearly a different person on the same phone."
"TR00397","DIFFERENT_PEOPLE","Keep Separate","398","519","TR00397","TBD","Keep separate","Two different people share the same Traveler ID; keep row 398 on TR00397 and assign a new Traveler ID to row 519."
"TR00398","DIFFERENT_PEOPLE","Keep Separate","399","520","TR00398","TBD","Keep separate","Two different people share the same Traveler ID; keep row 399 on TR00398 and assign a new Traveler ID to row 520."
"20.0:1060035570","DIFFERENT_PEOPLE","Keep Separate","500","522","TR00499","","Keep separate","Same phone but names are unrelated; not a merge candidate."
"20.0:1097850042","DIFFERENT_PEOPLE","Keep Separate","451","452","TR00450","","Keep separate","Shared phone appears to cover a parent and child; keep records separate."
"20.0:1127311373","DIFFERENT_PEOPLE","Keep Separate","229","230","TR00228","","Keep separate","Shared phone appears to cover an adult and child; keep records separate."
"20.0:12006444000","DIFFERENT_PEOPLE","Keep Separate","571","572","TR00572","","Keep separate","Same phone but names are unrelated; not a merge candidate."
"20.0:1280003592","DIFFERENT_PEOPLE","Keep Separate","331","429","TR00330","","Keep separate","Same phone but names are different; not a merge candidate."
"966.0:546052012","DIFFERENT_PEOPLE","Keep Separate","227","436","TR00226","","Keep separate","Same phone but names are unrelated; not a merge candidate."
